Session Time,EAR,MAR,Blink Count,Yawn Count,Head Direction,Attention Score,Driver Status
00:00:01,0.368,0.0,0,0,FORWARD,100,ALERT
00:00:02,0.09,0.0,1,0,RIGHT,80,FOCUSED
00:00:03,0.347,0.0,3,0,RIGHT,100,ALERT
00:00:04,0.309,0.895,5,0,RIGHT,100,ALERT
00:00:05,0.325,0.042,5,1,RIGHT,75,FOCUSED
00:00:06,0.362,0.042,5,1,RIGHT,75,FOCUSED
00:00:07,0.48,0.0,5,1,LEFT,100,ALERT
00:00:08,0.269,0.148,6,1,LEFT,100,ALERT
00:00:09,0.28,0.094,8,1,LEFT,60,TIRED
00:00:10,0.238,0.237,10,2,FORWARD,85,FOCUSED
00:00:11,0.337,0.149,11,2,FORWARD,85,FOCUSED
00:00:12,0.263,0.104,11,3,FORWARD,100,ALERT
00:00:13,0.353,0.119,11,3,FORWARD,85,FOCUSED
00:00:14,0.373,0.0,12,4,LEFT,100,ALERT
00:00:15,0.262,0.796,13,4,RIGHT,85,FOCUSED
00:00:16,0.287,0.903,13,4,RIGHT,85,FOCUSED
00:00:17,0.393,0.01,13,5,FORWARD,100,ALERT
00:00:18,0.079,0.01,14,5,FORWARD,80,FOCUSED
00:00:19,0.407,0.0,15,5,LEFT,100,ALERT
00:00:20,0.391,0.0,15,5,RIGHT,100,ALERT
00:00:21,0.47,0.02,15,5,RIGHT,75,FOCUSED
00:00:22,0.448,0.013,15,5,RIGHT,75,FOCUSED
00:00:23,0.364,0.374,16,5,FORWARD,100,ALERT
00:00:24,0.31,0.765,16,5,FORWARD,85,FOCUSED
00:00:25,0.321,0.52,16,5,FORWARD,85,FOCUSED
00:00:26,0.276,0.493,16,5,FORWARD,85,FOCUSED
00:00:27,0.336,0.0,16,6,RIGHT,100,ALERT
00:00:28,0.252,0.0,17,6,FORWARD,100,ALERT
00:00:29,0.377,0.034,17,6,RIGHT,100,ALERT
00:00:30,0.267,0.01,17,6,RIGHT,100,ALERT
